2023-08-22 14:23:24,388 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Configure stats pid to 21595
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Loading settings from /home/blue/.config/wandb/settings
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Loading settings from /home/blue/projects/MoNuSeg/wandb/settings
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/blue/projects/MoNuSeg/main.py'}
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:_log_setup():507] Logging user logs to /home/blue/projects/MoNuSeg/wandb/run-20230822_142324-3de52oh9/logs/debug.log
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:_log_setup():508] Logging internal logs to /home/blue/projects/MoNuSeg/wandb/run-20230822_142324-3de52oh9/logs/debug-internal.log
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:init():547] calling init triggers
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'log': 'log/', 'normalization': 'reinhard', 'targetImagePath': 'Dataset/MonuSegData/Training/TissueImages/TCGA-A7-A13F-01Z-00-DX1.png', 'to_be_aug': 'Dataset/MonuSegData/', 'out_dir': 'Dataset/MonuSegData/slidingAug/', 'augmented_dir': 'Dataset/MonuSegData/augmentated/', 'tileHeight': 800, 'tileWidth': 800, 'slidingSize': 50, 'augmentPerImage': 100, 'finalTileHeight': 256, 'finalTileWidth': 256, 'splitRatio': 0.9, 'trainDataset': 'Dataset/train/', 'valDataset': 'Dataset/val/', 'testDataset': 'Dataset/test/', 'resumeModel': 'model/best_model.pth', 'class1': [0, 0, 0], 'class2': [255, 255, 255], 'class3': [0, 255, 255], 'class4': [0, 0, 0], 'model_type': 'UNet_3Plus', 'input_img_type': 'rgb', 'kernel_size': 3, 'use_maxblurpool': True, 'epochs': 100, 'batch_size': 16, 'learning_rate': 1e-05, 'num_classes': 2, 'weight_path': None, 'activation': 'relu', 'resume': False, 'resume_epoch': 0, 'channel': 16, 'attention': False, 'loss': 'focal', 'dropout': 0.8, 'dilation': 1}
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:init():596] starting backend
2023-08-22 14:23:24,389 INFO    MainThread:21595 [wandb_init.py:init():600] setting up manager
2023-08-22 14:23:24,390 INFO    MainThread:21595 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-22 14:23:24,391 INFO    MainThread:21595 [wandb_init.py:init():606] backend started and connected
2023-08-22 14:23:24,393 INFO    MainThread:21595 [wandb_init.py:init():697] updated telemetry
2023-08-22 14:23:24,398 INFO    MainThread:21595 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-22 14:23:24,954 INFO    MainThread:21595 [wandb_run.py:_on_init():2180] communicating current version
2023-08-22 14:23:25,021 INFO    MainThread:21595 [wandb_run.py:_on_init():2189] got version response 
2023-08-22 14:23:25,021 INFO    MainThread:21595 [wandb_init.py:init():781] starting run threads in backend
2023-08-22 14:23:25,188 INFO    MainThread:21595 [wandb_run.py:_console_start():2159] atexit reg
2023-08-22 14:23:25,188 INFO    MainThread:21595 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-22 14:23:25,188 INFO    MainThread:21595 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-22 14:23:25,188 INFO    MainThread:21595 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-22 14:23:25,189 INFO    MainThread:21595 [wandb_init.py:init():822] run started, returning control to user process
2023-08-22 14:23:34,483 WARNING MsgRouterThr:21595 [router.py:message_loop():77] message_loop has been closed
